Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,47u,CP_EIA-3528-12_Kemet-T_Pad1.50x2.35mm_HandSolder,120.375,-31.5,0,top
C3,0.047u,C_0603_HandSoldering,131.318,-35.24,90,top
C4,0.047u,C_0603_HandSoldering,115.518,-100.46,-90,top
C5,0.047u,C_0603_HandSoldering,121.568,-107.01,180,top
C6,0.047u,C_0603_HandSoldering,68.5,-42.5,180,top
C7,0.047u,C_0603_HandSoldering,80,-37.25,-90,top
C8,0.047u,C_0603_HandSoldering,61,-48.5,90,top
C14,27p,C_0402_1005Metric,116.9,-42,-90,top
C15,27p,C_0402_1005Metric,121.412,-37.719,0,top
C16,10u,C_0805_2012Metric,51.7,-53.6,-90,top
C17,100n,C_0402_1005Metric,100.7,-39.7,180,top
C18,10u,C_0805_2012Metric,66.4,-67.2,0,top
C19,100n,C_0402_1005Metric,117.3,-37,0,top
C20,100n,C_0402_1005Metric,100.7,-40.8,180,top
C21,1u,C_0402_1005Metric,103,-36,180,top
C22,100n,C_0402_1005Metric,117.3,-38.2,0,top
C23,1u,C_0402_1005Metric,103,-35,180,top
C24,100n,C_0402_1005Metric,102.5,-46.25,-90,top
C25,100n,C_0402_1005Metric,115.1,-44.82,-90,top
C26,100n,C_0402_1005Metric,105.8,-33.2,90,top
C27,100n,C_0402_1005Metric,112.72,-31.8,0,top
C28,100n,C_0402_1005Metric,104.6,-33.2,90,top
C29,100n,C_0402_1005Metric,53.369189,-57.02,-90,top
C30,100n,C_0402_1005Metric,90.551,-38.354,90,top
C31,100n,C_0402_1005Metric,93.599,-45.085,-90,top
C32,100n,C_0402_1005Metric,107.5944,-72.3646,90,top
D1,"CUS10S30,H3F",D_SOD-323,62,-68.5,-90,top
D2,M7C,D_SOD-123,79,-65.51,180,top
D5,"CUS10S30,H3F",D_SOD-323,112.9792,-28.7274,180,top
F1,Fuse,Fuse_1206_3216Metric,76,-31.5,0,top
J8,USB_B_Micro,USB_Micro-B_Amphenol_10118194_Horizontal,54.4,-77.4,0,top
Q1,Q_NMOS_GSD,SOT-23,76.5,-35,180,top
Q2,Q_PMOS_GDS,SOT-23,71.7,-33.6,-90,top
Q3,Q_NMOS_GSD,SOT-23,80.79,-32.75,-90,top
R1,180,R_0402_1005Metric,86.106,-52,-90,top
R2,180,R_0402_1005Metric,86.606,-50.3,180,top
R3,2k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,115.518,-96.51,90,top
R4,2k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,125.6055,-107.01,0,top
R5,2k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,72.4125,-42.5,0,top
R6,2k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,61,-52.5,-90,top
R7,180,R_0402_1005Metric,88.356,-50.8,90,top
R8,180,R_0402_1005Metric,88.356,-52.9,90,top
R9,180,R_0402_1005Metric,87.056,-54.5,90,top
R10,316,R_0402_1005Metric,90.106,-50.3,0,top
R11,100R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,91.19,-28.83,180,top
R12,100R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,91.19,-30.53,180,top
R13,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,67.7,-34.7,180,top
R14,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,91.19,-32.23,0,top
R15,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,91.9,-26.3,-90,top
R16,1k,C_0402_1005Metric,93,-38,90,top
R17,100k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,60.3,-77.8,90,top
R18,1k,C_0402_1005Metric,117.3,-39.4,0,top
R19,316,R_0402_1005Metric,90.106,-51.5,0,top
R20,27,C_0402_1005Metric,103,-38,0,top
R21,27,C_0402_1005Metric,103,-37,0,top
R24,316,R_0402_1005Metric,90.106,-52.7,0,top
R25,316,R_0402_1005Metric,90.106,-53.9,0,top
S1,BOOTSEL,SW_TS-1187A-B-A-B,97.5,-32.1625,-90,top
U1,MCP3202,SOIC-8_3.9x4.9mm_P1.27mm,86.2,-40.8,0,top
U3,MCP3202,SOIC-8_3.9x4.9mm_P1.27mm,109.518,-77.41,90,top
U6,AMS1117-3.3,SOT-223-3_TabPin2,54.9,-68.8,0,top
U7,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,97,-48,90,top
U8,RP2040,RP2040-QFN-56,110,-39,90,top
U12,USBLC6-2P6,SOT-666,61.5,-73.5,0,top
U13,USBLC6-2P6,SOT-666,106.68,-27.94,180,top
Y1,Crystal_GND24,Crystal_SMD_3225-4Pin_3.2x2.5mm,120.9,-40.65,180,top
